baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
504.787	-0.0151668	-0.481887	0.6879091262817383	0	9.42990654206	3.58635042028	26.0	5.0	9.42990654206	3.58635042028	1009	1009
6816.38	-0.015446	-0.12729	0.9914543628692627	1	25.05	12.7199646226	63.0	8.0	25.05	12.7199646226	1002	2011
69702.3	-0.0325873	-0.0543299	1.2687547206878662	2	50.7142857143	16.7535152165	92.0	27.0	50.7142857143	16.7535152165	1065	3076
10723.1	0.00892783	-0.00502385	1.5631003379821777	3	66.875	14.3303654873	93.0	39.0	66.875	14.3303654873	1070	4146
10302.7	-0.0113764	-0.0330066	1.8220758438110352	4	71.7142857143	11.6400084157	86.0	51.0	71.7142857143	11.6400084157	1004	5150
36266.6	0.00319542	-0.034528	2.110424757003784	5	72.6666666667	16.7079488734	119.0	51.0	72.6666666667	16.7079488734	1090	6240
23643.2	-0.0120007	-0.0178665	2.389052152633667	6	74.7857142857	16.5795854309	113.0	54.0	74.7857142857	16.5795854309	1047	7287
4307.47	-0.0107062	-0.0177623	2.653297185897827	7	73.9285714286	15.7137986938	96.0	52.0	73.9285714286	15.7137986938	1035	8322
2236.23	-0.012734	-0.0196939	2.9304983615875244	8	88.6666666667	13.2811478754	111.0	69.0	88.6666666667	13.2811478754	1064	9386
13545.9	-0.0048767	-0.025803	3.201766014099121	9	116.222222222	28.1810723626	156.0	80.0	116.222222222	28.1810723626	1046	10432
18528.5	0.00349492	-0.00398816	3.4832677841186523	10	131.25	34.4265522526	206.0	91.0	131.25	34.4265522526	1050	11482
11240.0	-0.0186876	-0.0256228	3.7579290866851807	11	119.333333333	32.53032773	200.0	86.0	119.333333333	32.53032773	1074	12556
1965.25	0.00107071	0.000928818	4.02633261680603	12	114.222222222	15.3823692567	141.0	94.0	114.222222222	15.3823692567	1028	13584
1555.0	0.00209423	-0.00376794	4.302966117858887	13	117.888888889	8.68516544261	130.0	102.0	117.888888889	8.68516544261	1061	14645
7468.32	0.019282	0.0156755	4.5833351612091064	14	114.111111111	12.7230712963	136.0	98.0	114.111111111	12.7230712963	1027	15672
12052.8	-0.00467349	-0.00853401	4.886394023895264	15	127.222222222	18.4196620658	165.0	105.0	127.222222222	18.4196620658	1145	16817
7982.94	-0.00383014	-0.00962755	5.200178384780884	16	163.0	19.0712948096	184.0	124.0	163.0	19.0712948096	1141	17958
2234.28	-0.002286	-0.00354193	5.503312349319458	17	204.8	59.8444650741	289.0	144.0	204.8	59.8444650741	1024	18982
2499.81	0.00926416	0.00426239	5.873133420944214	18	398.0	132.863338309	571.0	248.0	398.0	132.863338309	1194	20176
5480.63	-0.0053195	-0.00709301	6.220107793807983	19	302.75	38.1731253633	341.0	240.0	302.75	38.1731253633	1211	21387
