baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
514.251	-0.00791311	-0.159583	0.6591501235961914	0	15.3636363636	8.90460616868	47.0	4.0	15.3636363636	8.90460616868	1014	1014
22931.0	0.00712233	-0.0765511	0.9470031261444092	1	28.6857142857	11.2548946268	56.0	11.0	28.6857142857	11.2548946268	1004	2018
31592.8	-0.00957146	-0.0971985	1.205845594406128	2	54.3157894737	17.2536880316	107.0	25.0	54.3157894737	17.2536880316	1032	3050
1040.74	0.00315837	-0.154115	1.4940485954284668	3	99.8181818182	30.8804680305	156.0	64.0	99.8181818182	30.8804680305	1098	4148
13722.5	-0.00531441	-0.0713068	1.784712553024292	4	121.333333333	35.5746476519	202.0	92.0	121.333333333	35.5746476519	1092	5240
13487.3	0.00210425	-0.00271669	2.067697286605835	5	100.545454545	22.7450839298	135.0	56.0	100.545454545	22.7450839298	1106	6346
13016.4	0.000828023	-0.155375	2.3506033420562744	6	72.0	13.9188122099	102.0	51.0	72.0	13.9188122099	1080	7426
6725.07	-0.00112504	-0.0754755	2.6249303817749023	7	48.4285714286	14.6501143456	91.0	33.0	48.4285714286	14.6501143456	1017	8443
14152.0	0.0207812	-0.0217794	2.8851382732391357	8	43.0833333333	15.0136511956	88.0	26.0	43.0833333333	15.0136511956	1034	9477
5240.59	0.0142341	0.0132041	3.145724058151245	9	36.5714285714	9.78858143607	63.0	19.0	36.5714285714	9.78858143607	1024	10501
573.01	0.000867736	-0.00891908	3.4025254249572754	10	35.0	11.8525422851	75.0	17.0	35.0	11.8525422851	1015	11516
4090.67	-0.0219307	-0.0283077	3.6693546772003174	11	33.3225806452	8.15331753881	51.0	10.0	33.3225806452	8.15331753881	1033	12549
6356.22	-0.0112363	-0.0233922	3.929941177368164	12	34.5	7.8006409993	50.0	15.0	34.5	7.8006409993	1035	13584
2670.16	-0.00298411	-0.0554804	4.190533638000488	13	37.5925925926	8.94534540359	58.0	23.0	37.5925925926	8.94534540359	1015	14599
593.69	0.000627907	-0.0503601	4.456320524215698	14	38.7692307692	11.6826883507	84.0	27.0	38.7692307692	11.6826883507	1008	15607
2263.0	-0.00596603	-0.0249617	4.7240705490112305	15	42.625	11.8490945505	74.0	25.0	42.625	11.8490945505	1023	16630
3822.43	-0.0037699	-0.00647672	5.0042688846588135	16	51.4761904762	14.2381748684	82.0	25.0	51.4761904762	14.2381748684	1081	17711
2259.51	-0.0051512	-0.00638333	5.268133878707886	17	56.5555555556	17.845703567	94.0	29.0	56.5555555556	17.845703567	1018	18729
681.598	0.00169611	-0.0118228	5.536431550979614	18	64.3125	19.6428064123	114.0	33.0	64.3125	19.6428064123	1029	19758
1419.21	-0.0162617	-0.0636479	5.810541868209839	19	56.7222222222	19.3413935944	112.0	25.0	56.7222222222	19.3413935944	1021	20779
2724.19	-0.00767354	-0.0613108	6.0872721672058105	20	82.8461538462	31.0554000107	176.0	53.0	82.8461538462	31.0554000107	1077	21856
3592.85	-0.00425819	-0.0123391	6.421849966049194	21	138.375	43.3357170819	236.0	91.0	138.375	43.3357170819	1107	22963
4222.17	-0.00178862	0.000704164	6.729309558868408	22	181.5	57.659199902	286.0	122.0	181.5	57.659199902	1089	24052
3806.63	0.00163923	0.00125856	7.018190622329712	23	152.428571429	54.9827431183	245.0	71.0	152.428571429	54.9827431183	1067	25119
3023.82	-0.0129033	-0.0131045	7.323161363601685	24	222.4	82.1135798757	358.0	105.0	222.4	82.1135798757	1112	26231
1767.17	0.00121236	-0.000347464	7.644404411315918	25	225.2	48.8114740609	291.0	169.0	225.2	48.8114740609	1126	27357
1155.71	-0.000218461	-0.000674171	7.9638941287994385	26	350.333333333	90.2601179308	459.0	238.0	350.333333333	90.2601179308	1051	28408
1064.88	0.00739789	0.000494558	8.295434951782227	27	369.0	109.821066589	503.0	234.0	369.0	109.821066589	1107	29515
1038.18	-0.00280271	-0.00319765	8.848038911819458	28	743.5	85.5	829.0	658.0	743.5	85.5	1487	31002
995.123	0.00356847	-0.0098044	9.57895016670227	29	928.0	72.0	1000.0	856.0	928.0	72.0	1856	32858
1416.94	0.000176866	-0.000165121	10.393851280212402	30	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	34858
1583.0	0.000339507	0.000194097	11.213423728942871	31	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	36858
1532.16	-0.00674741	-0.0071484	12.024405241012573	32	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	38858
1671.34	0.000454242	0.00042229	12.834145784378052	33	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	40858
1568.8	-0.00067594	-0.00219251	13.641273021697998	34	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	42858
1513.87	0.0116991	0.00581388	14.458991289138794	35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	44858
1373.96	0.000285793	0.00108149	15.276716232299805	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	46858
1247.39	0.000750186	-0.00460588	16.09363031387329	37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	48858
1137.74	-0.00564446	-0.00796184	16.91249656677246	38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	50858
789.301	0.00278609	0.00349901	17.41540789604187	39	670.5	329.5	1000.0	341.0	670.5	329.5	1341	52199
