baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
504.166	-0.0185805	-0.300175	0.6631531715393066	0	10.2551020408	3.96492588007	25.0	5.0	10.2551020408	3.96492588007	1005	1005
875.611	0.00842938	-0.0334049	0.9677960872650146	1	22.0434782609	7.68668108891	41.0	10.0	22.0434782609	7.68668108891	1014	2019
8185.0	-0.0148127	-0.0474626	1.2313389778137207	2	35.2068965517	13.4481874444	80.0	18.0	35.2068965517	13.4481874444	1021	3040
1441.44	-0.00321962	-0.045303	1.4959938526153564	3	47.2272727273	10.6170181492	72.0	30.0	47.2272727273	10.6170181492	1039	4079
1500.69	0.00218335	-0.121602	1.7668869495391846	4	61.4117647059	14.1382203037	87.0	40.0	61.4117647059	14.1382203037	1044	5123
1837.64	-0.0130938	-0.0898195	2.0463109016418457	5	92.0	49.4092372667	225.0	46.0	92.0	49.4092372667	1012	6135
712.981	-0.0024706	-0.0162409	2.343804359436035	6	126.777777778	38.1219615264	180.0	57.0	126.777777778	38.1219615264	1141	7276
1610.89	-0.00634387	-0.033786	2.628038167953491	7	85.8461538462	28.1147269206	126.0	49.0	85.8461538462	28.1147269206	1116	8392
557.144	0.00529109	-0.0858073	2.8948004245758057	8	91.1818181818	26.8254227513	137.0	50.0	91.1818181818	26.8254227513	1003	9395
1244.46	-0.00796513	-0.00860348	3.18278431892395	9	121.222222222	35.7391095387	178.0	61.0	121.222222222	35.7391095387	1091	10486
648.79	-0.00813554	-0.0305607	3.4589385986328125	10	117.111111111	37.1377150151	166.0	58.0	117.111111111	37.1377150151	1054	11540
917.332	0.00662612	0.00558686	3.741771936416626	11	87.1666666667	16.7622260521	123.0	59.0	87.1666666667	16.7622260521	1046	12586
807.55	0.00639053	0.00335877	4.0184102058410645	12	83.0769230769	24.6902707044	152.0	53.0	83.0769230769	24.6902707044	1080	13666
653.972	-0.00724023	-0.0241202	4.2782511711120605	13	77.0	22.6240171907	111.0	33.0	77.0	22.6240171907	1001	14667
914.955	-0.0184926	-0.022712	4.54181694984436	14	74.0714285714	23.9059594654	112.0	46.0	74.0714285714	23.9059594654	1037	15704
534.027	0.000876987	-0.0162568	4.825778007507324	15	87.3333333333	22.1710521978	109.0	41.0	87.3333333333	22.1710521978	1048	16752
