baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
512.425	-0.011767	-0.459836	0.6629295349121094	0	11.2921348315	4.224599568	30.0	6.0	11.2921348315	4.224599568	1005	1005
5483.58	0.00203425	-0.0545655	0.9790124893188477	1	27.5135135135	11.790104925	69.0	14.0	27.5135135135	11.790104925	1018	2023
48674.7	-0.000225636	-0.0183552	1.240670919418335	2	42.2916666667	11.6957227462	76.0	27.0	42.2916666667	11.6957227462	1015	3038
3656.1	-0.012611	-0.0454903	1.5004289150238037	3	48.5238095238	11.2063716894	77.0	30.0	48.5238095238	11.2063716894	1019	4057
9809.02	-0.00195531	-0.0125278	1.7669551372528076	4	46.2727272727	14.4322297722	90.0	29.0	46.2727272727	14.4322297722	1018	5075
6698.3	0.0115715	-0.00329733	2.049905300140381	5	52.7894736842	18.8528343461	95.0	25.0	52.7894736842	18.8528343461	1003	6078
3470.12	-0.00189984	-0.0342212	2.3296456336975098	6	71.2666666667	22.6287918861	116.0	30.0	71.2666666667	22.6287918861	1069	7147
9079.64	0.000243715	-0.00435926	2.6000046730041504	7	112.666666667	35.9258495608	188.0	57.0	112.666666667	35.9258495608	1014	8161
5810.05	-0.00532412	-0.0134929	2.912933349609375	8	159.285714286	45.8435671939	229.0	95.0	159.285714286	45.8435671939	1115	9276
2274.72	-0.0104505	-0.0329053	3.2027173042297363	9	117.555555556	28.0440570496	167.0	73.0	117.555555556	28.0440570496	1058	10334
2484.18	-0.00221208	-0.00407073	3.488553047180176	10	174.0	46.9432281236	259.0	129.0	174.0	46.9432281236	1044	11378
4962.55	0.00483751	-0.00102557	3.7902722358703613	11	176.666666667	56.7117467746	224.0	71.0	176.666666667	56.7117467746	1060	12438
2710.13	-0.00426334	-0.0170637	4.068299293518066	12	148.571428571	45.9094050211	231.0	89.0	148.571428571	45.9094050211	1040	13478
2040.52	0.0122826	0.00805239	4.413980007171631	13	246.6	53.1586305316	301.0	177.0	246.6	53.1586305316	1233	14711
3136.1	-0.00228111	-0.0160383	4.760382652282715	14	247.0	82.2751481311	405.0	169.0	247.0	82.2751481311	1235	15946
2923.15	0.000687356	0.000599209	5.0811378955841064	15	226.4	41.4371813713	299.0	180.0	226.4	41.4371813713	1132	17078
1833.24	-0.00119849	-0.00575293	5.437885761260986	16	248.2	53.3194148505	340.0	199.0	248.2	53.3194148505	1241	18319
1323.94	-0.0148692	-0.0170863	5.800356864929199	17	250.4	74.0070266934	356.0	146.0	250.4	74.0070266934	1252	19571
1547.91	0.00329067	-0.00016529	6.116984844207764	18	225.8	56.7111981887	325.0	148.0	225.8	56.7111981887	1129	20700
1549.1	0.0103148	0.00926814	6.427687406539917	19	189.333333333	53.4872778228	287.0	140.0	189.333333333	53.4872778228	1136	21836
854.473	0.00526447	-0.0066587	6.726175785064697	20	142.125	16.3281773325	169.0	121.0	142.125	16.3281773325	1137	22973
