baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
502.256	0.00424546	-0.342628	0.6761367321014404	0	11.7558139535	5.31329190325	26.0	5.0	11.7558139535	5.31329190325	1011	1011
7335.44	-0.00322674	-0.0669124	0.9840908050537109	1	29.8529411765	14.2728297061	78.0	10.0	29.8529411765	14.2728297061	1015	2026
42583.4	-0.00827238	-0.0196147	1.2535202503204346	2	58.0	24.2120263964	122.0	30.0	58.0	24.2120263964	1044	3070
1804.76	0.000437963	-0.0256189	1.516901969909668	3	57.5555555556	13.8773285222	92.0	37.0	57.5555555556	13.8773285222	1036	4106
13861.0	-0.00585032	-0.0858765	1.7867321968078613	4	62.8823529412	17.1700229639	111.0	45.0	62.8823529412	17.1700229639	1069	5175
10601.2	0.0103207	-0.0109551	2.06073260307312	5	61.4117647059	15.8227640313	102.0	45.0	61.4117647059	15.8227640313	1044	6219
4149.96	0.00347311	-0.00408465	2.3188912868499756	6	72.2142857143	29.301824837	154.0	48.0	72.2142857143	29.301824837	1011	7230
3248.61	-0.000585033	-0.0382627	2.5969159603118896	7	108.0	38.6031086831	166.0	53.0	108.0	38.6031086831	1080	8310
7426.3	-0.00512057	0.00178747	2.9110171794891357	8	191.166666667	48.1366688595	271.0	146.0	191.166666667	48.1366688595	1147	9457
5864.8	0.0120196	0.00811267	3.223633289337158	9	153.857142857	40.737587317	218.0	79.0	153.857142857	40.737587317	1077	10534
2450.46	-0.0036858	-0.00929746	3.510852575302124	10	169.5	45.2170690485	246.0	129.0	169.5	45.2170690485	1017	11551
807.017	-0.00744978	-0.00782571	3.835815191268921	11	146.375	61.1554116575	253.0	71.0	146.375	61.1554116575	1171	12722
2620.22	0.00772133	0.00581879	4.130699872970581	12	145.571428571	82.4757230824	326.0	66.0	145.571428571	82.4757230824	1019	13741
3425.31	0.00858352	0.00728034	4.435328722000122	13	253.25	186.803874424	576.0	126.0	253.25	186.803874424	1013	14754
2129.65	0.00361687	0.0020283	4.752072334289551	14	168.857142857	45.1518978289	256.0	113.0	168.857142857	45.1518978289	1182	15936
709.641	0.010419	0.00463963	5.067674875259399	15	191.666666667	25.4929184067	237.0	159.0	191.666666667	25.4929184067	1150	17086
1857.4	-0.00157129	-0.00468728	5.350818634033203	16	171.666666667	24.4722064573	209.0	148.0	171.666666667	24.4722064573	1030	18116
3138.59	-0.0144469	-0.0192101	5.66719126701355	17	165.0	55.7058601688	243.0	77.0	165.0	55.7058601688	1155	19271
1720.67	-0.0157244	-0.0153492	5.9845263957977295	18	183.833333333	94.870818602	376.0	90.0	183.833333333	94.870818602	1103	20374
608.78	-0.0149407	-0.0170241	6.276527166366577	19	119.333333333	28.2055944017	169.0	76.0	119.333333333	28.2055944017	1074	21448
1399.23	-0.00733345	-0.00928311	6.5648956298828125	20	150.571428571	51.8703249676	236.0	75.0	150.571428571	51.8703249676	1054	22502
1472.99	-0.013986	-0.0180592	6.857237339019775	21	136.0	26.6598949735	191.0	107.0	136.0	26.6598949735	1088	23590
1292.46	0.00104921	-0.00708723	7.245603084564209	22	402.0	156.79285698	596.0	212.0	402.0	156.79285698	1206	24796
724.7	0.00139246	0.000156161	7.602079391479492	23	248.8	42.5882612935	314.0	191.0	248.8	42.5882612935	1244	26040
753.912	0.00903523	0.00476715	7.902000188827515	24	260.0	28.7836759292	305.0	228.0	260.0	28.7836759292	1040	27080
1189.94	1.78754e-05	-0.00700888	8.25784707069397	25	245.4	76.8806867815	363.0	172.0	245.4	76.8806867815	1227	28307
827.677	0.00661369	0.00713548	8.569441795349121	26	222.4	38.2967361534	285.0	166.0	222.4	38.2967361534	1112	29419
567.505	0.00611986	0.00340902	8.905442476272583	27	274.25	169.781293139	551.0	112.0	274.25	169.781293139	1097	30516
732.339	0.00290288	-0.000144676	9.249923944473267	28	295.25	23.4027242004	329.0	264.0	295.25	23.4027242004	1181	31697
999.345	0.0105854	0.00834461	9.649211883544922	29	326.75	100.849826475	460.0	180.0	326.75	100.849826475	1307	33004
707.527	0.0149308	0.0133952	9.994647979736328	30	275.75	174.082415827	561.0	105.0	275.75	174.082415827	1103	34107
673.506	-0.00549298	-0.00714607	10.45008134841919	31	657.0	118.0	775.0	539.0	657.0	118.0	1314	35421
757.115	0.00375497	0.00211698	10.829701662063599	32	564.5	82.5	647.0	482.0	564.5	82.5	1129	36550
811.733	0.00262723	6.14002e-05	11.301042795181274	33	636.5	258.5	895.0	378.0	636.5	258.5	1273	37823
780.281	-0.00532612	-0.00585977	11.794793605804443	34	655.0	345.0	1000.0	310.0	655.0	345.0	1310	39133
1007.35	0.0036037	0.00318909	12.613117456436157	35	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	41133
829.495	0.000364614	-0.00109995	13.106066226959229	36	693.5	27.5	721.0	666.0	693.5	27.5	1387	42520
1245.93	-0.0042625	-0.00498593	13.900410413742065	37	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	44520
1023.91	0.00352167	0.00258276	14.725810766220093	38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	46520
1220.66	0.0081108	0.00788979	15.533648014068604	39	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	48520
1098.71	0.00931048	0.00918333	16.35121464729309	40	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	50520
1064.41	0.0037016	0.00167561	17.191606044769287	41	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	52520
1142.76	-0.0135201	-0.0133361	17.983607053756714	42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	54520
1017.5	-0.00244894	-0.00313977	18.77533745765686	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	56520
1134.25	-0.000572397	-0.00188635	19.590538024902344	44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	58520
1072.79	0.00754633	0.00740921	20.399622201919556	45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	60520
1051.1	-0.000285435	-0.000231756	21.19837260246277	46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	62520
1102.42	0.00562471	0.000780032	22.00031280517578	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	64520
1017.14	0.0023142	0.00127795	22.789098024368286	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	66520
1078.16	0.00129761	-0.000977697	23.6089985370636	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	68520
1087.27	-0.00180257	-0.00368274	24.423582792282104	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	70520
1027.71	-0.00255574	-0.00389825	25.246935844421387	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	72520
1056.12	0.001157	0.00175443	26.047022581100464	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	74520
1172.19	0.00931866	0.00427197	26.842161893844604	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	76520
1223.53	-0.00175922	-0.0142222	27.660967111587524	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	78520
1131.22	0.00265693	-0.057028	28.46592926979065	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	80520
595.735	-0.00498604	-0.0187982	28.772549867630005	56	261.75	129.860261435	401.0	60.0	261.75	129.860261435	1047	81567
733.649	0.000350988	0.0152176	29.04216957092285	57	68.6666666667	40.3363635225	162.0	25.0	68.6666666667	40.3363635225	1030	82597
528.142	-0.00037668	0.0108934	29.305289268493652	58	36.3571428571	22.394537417	102.0	10.0	36.3571428571	22.394537417	1018	83615
535.184	-0.00682901	-0.0548386	29.57449984550476	59	28.9714285714	12.5481602847	54.0	9.0	28.9714285714	12.5481602847	1014	84629
605.066	-0.0111286	-0.0105266	29.850182056427002	60	18.5272727273	8.95210395881	44.0	8.0	18.5272727273	8.95210395881	1019	85648
506.373	-0.00999165	-0.0344392	30.132625102996826	61	21.0	10.2449174391	53.0	8.0	21.0	10.2449174391	1008	86656
486.49	0.00373848	-0.0018927	30.402509450912476	62	17.3275862069	9.61390503571	41.0	6.0	17.3275862069	9.61390503571	1005	87661
551.527	0.0181502	0.00215862	30.672253608703613	63	15.4	9.69821553768	49.0	6.0	15.4	9.69821553768	1001	88662
536.697	-0.0125493	-0.0581964	30.94918441772461	64	17.9310344828	10.6994393488	51.0	6.0	17.9310344828	10.6994393488	1040	89702
494.608	-0.0146293	-0.0152412	31.234294652938843	65	27.5135135135	14.4402246401	64.0	7.0	27.5135135135	14.4402246401	1018	90720
541.591	-0.0114162	-0.0127629	31.51443886756897	66	36.1666666667	15.6121391516	93.0	10.0	36.1666666667	15.6121391516	1085	91805
490.847	0.00497644	-0.00231931	31.772279024124146	67	35.9285714286	15.2922215788	68.0	12.0	35.9285714286	15.2922215788	1006	92811
493.249	-0.00187711	-0.030761	32.05193090438843	68	48.1818181818	23.2684655189	110.0	15.0	48.1818181818	23.2684655189	1060	93871
542.857	0.00596467	-0.0337736	32.320833921432495	69	86.0	38.5486705348	188.0	42.0	86.0	38.5486705348	1032	94903
555.102	-0.0101912	-0.100301	32.604026794433594	70	200.8	123.285684489	381.0	54.0	200.8	123.285684489	1004	95907
523.08	-0.0026203	0.0342027	32.906254291534424	71	336.666666667	24.1154629969	367.0	308.0	336.666666667	24.1154629969	1010	96917
1213.49	-0.00708373	-0.0476968	33.712451219558716	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	98917
1758.39	-0.00665315	-0.00342391	34.53168535232544	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	100917
1662.87	-0.00971015	-0.016441	35.34347867965698	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	102917
1603.12	0.0015872	-0.00215233	36.171802282333374	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	104917
