baseline loss	LossBeforeUpdate	LossAfterUpdate	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
502.256	0.00424546	-0.710155	0.6845989227294922	0	11.7558139535	5.31329190325	26.0	5.0	11.7558139535	5.31329190325	1011	1011
593.849	0.00751364	-0.0758558	0.9857735633850098	1	31.0303030303	13.58360163	73.0	16.0	31.0303030303	13.58360163	1024	2035
601.191	-0.00850272	-0.0825611	1.2580440044403076	2	70.0	27.7608837515	132.0	34.0	70.0	27.7608837515	1050	3085
575.148	-0.00299697	-0.215258	1.5255937576293945	3	57.5555555556	18.9332811684	90.0	27.0	57.5555555556	18.9332811684	1036	4121
1332.93	-0.0194494	-0.0254343	1.8007664680480957	4	33.0	14.1785844873	65.0	12.0	33.0	14.1785844873	1023	5144
563.233	0.011422	-0.193059	2.076935291290283	5	31.875	11.4857248356	51.0	14.0	31.875	11.4857248356	1020	6164
784.052	0.0142535	0.000701411	2.3422484397888184	6	54.5789473684	23.1296478447	142.0	38.0	54.5789473684	23.1296478447	1037	7201
793.288	0.00136133	-0.200523	2.611006498336792	7	63.4375	22.2456983201	116.0	34.0	63.4375	22.2456983201	1015	8216
577.236	-0.00997891	0.00854533	2.9139862060546875	8	154.0	29.0615111199	196.0	114.0	154.0	29.0615111199	1078	9294
485.61	-0.00777127	-0.0357376	3.1833879947662354	9	113.444444444	28.1508283324	176.0	69.0	113.444444444	28.1508283324	1021	10315
485.034	-0.00304354	-0.0206323	3.467313289642334	10	120.444444444	22.5246093127	168.0	90.0	120.444444444	22.5246093127	1084	11399
473.173	0.00339158	-0.00482011	3.755225896835327	11	130.875	51.3211396502	235.0	83.0	130.875	51.3211396502	1047	12446
515.012	0.00260114	0.00207743	4.010799884796143	12	77.3076923077	23.6850638277	130.0	45.0	77.3076923077	23.6850638277	1005	13451
528.232	0.00363063	0.00278494	4.272937774658203	13	64.6875	29.5248174211	114.0	25.0	64.6875	29.5248174211	1035	14486
500.451	-0.00139917	-0.00280632	4.540841579437256	14	53.5789473684	20.5383230737	105.0	27.0	53.5789473684	20.5383230737	1018	15504
491.104	-0.00598163	-0.0189507	4.804447174072266	15	59.4117647059	18.0263167865	94.0	33.0	59.4117647059	18.0263167865	1010	16514
488.862	-0.0233173	-0.0440443	5.086333990097046	16	72.0	22.809354806	118.0	33.0	72.0	22.809354806	1080	17594
596.338	-0.00431075	-0.0108809	5.358433485031128	17	104.9	37.4498331104	194.0	56.0	104.9	37.4498331104	1049	18643
649.594	-0.0212324	-0.0360332	5.6686742305755615	18	137.625	53.5068628776	270.0	105.0	137.625	53.5068628776	1101	19744
880.848	-0.0079911	-0.0125446	5.949730157852173	19	105.5	27.0268385129	166.0	66.0	105.5	27.0268385129	1055	20799
934.363	-0.00560025	-0.0191294	6.242383718490601	20	110.6	35.157360538	199.0	74.0	110.6	35.157360538	1106	21905
818.62	-0.0108887	-0.0540237	6.545763731002808	21	127.333333333	35.0015872656	201.0	83.0	127.333333333	35.0015872656	1146	23051
650.168	-0.00262038	-0.0142222	6.903908967971802	22	398.666666667	49.5670141212	464.0	344.0	398.666666667	49.5670141212	1196	24247
531.118	-0.0110597	-0.0196829	7.206028699874878	23	343.333333333	22.6617641757	373.0	318.0	343.333333333	22.6617641757	1030	25277
514.63	-0.00350124	-0.00479512	7.4951348304748535	24	252.5	105.902077411	397.0	98.0	252.5	105.902077411	1010	26287
553.716	0.0145375	0.0118086	7.810411214828491	25	257.5	91.1111957994	413.0	192.0	257.5	91.1111957994	1030	27317
789.426	0.00176292	0.00106798	8.371776103973389	26	757.5	217.5	975.0	540.0	757.5	217.5	1515	28832
1062.33	0.00407825	0.00182667	9.156197547912598	27	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	30832
894.36	0.00863157	0.00511867	9.962916135787964	28	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	32832
852.816	0.000862726	-0.00585673	10.761915445327759	29	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	34832
385.999	-0.0128545	-0.01495	11.179134368896484	30	448.0	42.7083130081	508.0	412.0	448.0	42.7083130081	1344	36176
368.375	0.0167699	0.0144379	11.56217622756958	31	316.75	89.076862877	464.0	225.0	316.75	89.076862877	1267	37443
304.009	0.000604059	0.00100307	11.946028232574463	32	407.0	28.3901391332	444.0	375.0	407.0	28.3901391332	1221	38664
229.993	0.00267722	0.0032185	12.286560773849487	33	384.0	17.6635217327	408.0	366.0	384.0	17.6635217327	1152	39816
195.673	0.00842307	0.00846297	12.702284574508667	34	397.333333333	38.6120303648	437.0	345.0	397.333333333	38.6120303648	1192	41008
276.153	-0.00524328	-0.0106459	13.13551378250122	35	630.5	92.5	723.0	538.0	630.5	92.5	1261	42269
1682.29	-0.00753783	-0.00771915	13.952845096588135	36	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	44269
5023.59	-0.00654857	-0.0106677	14.628137588500977	37	891.0	109.0	1000.0	782.0	891.0	109.0	1782	46051
2617.35	-0.0104464	-0.0102477	15.428587198257446	38	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	48051
1754.99	-0.0084458	-0.00863252	16.234397172927856	39	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	50051
697.72	-0.0209254	-0.0240434	16.683393955230713	40	577.5	422.5	1000.0	155.0	577.5	422.5	1155	51206
993.455	-0.0056753	-0.00706432	17.309006690979004	41	586.0	305.037702588	1000.0	274.0	586.0	305.037702588	1758	52964
1062.2	0.00591577	0.00581124	18.11652660369873	42	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	54964
1024.52	-0.00465989	-0.00632887	18.917985439300537	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	56964
1039.19	0.00421809	0.00287159	19.711605548858643	44	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	58964
1030.2	-0.00420704	-0.00348093	20.451548099517822	45	955.0	45.0	1000.0	910.0	955.0	45.0	1910	60874
662.421	0.00265193	-0.00785096	20.871702432632446	46	588.5	279.5	868.0	309.0	588.5	279.5	1177	62051
1103.71	-0.00279609	-0.00860483	21.66235876083374	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	64051
1074.98	-0.00649907	-0.00593625	22.461744785308838	48	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	66051
1032.26	0.00322688	0.00268027	23.278169631958008	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	68051
844.09	-0.00289742	-0.00389707	23.93680214881897	50	552.333333333	328.931941627	1000.0	219.0	552.333333333	328.931941627	1657	69708
542.179	-0.00347244	-0.00370797	24.27491283416748	51	360.0	170.659505058	531.0	127.0	360.0	170.659505058	1080	70788
546.14	-0.00422113	-0.00647104	24.626441478729248	52	362.333333333	131.058087206	524.0	203.0	362.333333333	131.058087206	1087	71875
571.84	-0.0147547	-0.0152394	25.006558418273926	53	567.0	156.0	723.0	411.0	567.0	156.0	1134	73009
602.957	-0.0013954	-0.00821239	25.3512921333313	54	295.5	118.554839631	419.0	104.0	295.5	118.554839631	1182	74191
1020.53	-0.0016469	-0.00206319	26.158534049987793	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	76191
1027.02	0.0114455	0.0104053	26.972305059432983	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	78191
1027.45	-0.00143216	-0.00292318	27.782349109649658	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	80191
1023.81	-0.00225553	-0.00275592	28.592008352279663	58	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	82191
1016.19	-0.00169301	-0.00149849	29.399271249771118	59	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	84191
1005.24	0.000662095	0.00105505	30.212958335876465	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	86191
1004.93	-0.000932746	-0.000768578	31.020975828170776	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	88191
1002.23	0.00941479	0.00924832	31.81075620651245	62	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	90191
996.769	-0.00657366	-0.00772792	32.609572887420654	63	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	92191
1000.81	0.0144042	0.0136133	33.39608120918274	64	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	94191
999.572	-0.00671655	-0.00992987	34.20233464241028	65	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	96191
1000.4	0.0104036	0.00982959	35.004138708114624	66	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	98191
997.975	0.00717732	0.00326457	35.804043769836426	67	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	100191
1003.67	-0.0102311	-0.0099921	36.60856914520264	68	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	102191
1011.67	-0.0124683	-0.0124497	37.40928506851196	69	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	104191
1013.02	-0.0123869	-0.0120328	38.21225142478943	70	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	106191
1010.75	0.00537773	0.00368462	38.9950909614563	71	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	108191
1030.4	0.00272079	0.0013505	39.78231167793274	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	110191
1020.38	0.00403835	0.00170348	40.58651041984558	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	112191
1011.41	-0.0110105	-0.0130339	41.38377332687378	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	114191
1000.44	-0.00826559	-0.00938327	42.18755531311035	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	116191
1004.52	0.00102189	0.000163188	42.98534941673279	76	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	118191
1001.33	0.00127788	0.000656629	43.789156913757324	77	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	120191
1006.44	0.000857736	0.000793163	44.58996391296387	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	122191
1004.92	-0.00106451	-0.00349212	45.39025115966797	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	124191
1007.89	0.00132624	-0.00145597	46.19406700134277	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	126191
1005.55	-0.00355993	-0.0174523	46.99259805679321	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	128191
1004.13	-0.00219453	-0.00327202	47.79922819137573	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	130191
1002.86	-0.00214719	-0.00151133	48.60528373718262	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	132191
1000.99	-8.64195e-05	0.00120367	49.4022114276886	84	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	134191
998.598	0.00394419	0.00225383	50.1959023475647	85	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	136191
1000.82	0.00550632	0.00482336	51.00028204917908	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	138191
999.937	-0.000635247	-0.003385	51.79222249984741	87	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	140191
